Time_Step_Min,DNI_Irradiance,Inlet_Temp,Current_Outlet_Temp,Previous_Salt_Flow,Optimal_Flow_Target
2745,0.0,288.67,288.67,0.0,0.0
2750,0.0,293.48,293.48,0.0,0.0
2755,0.0,290.34,290.34,0.0,0.0
2760,0.0,289.98,289.98,0.0,0.0
2765,0.0,289.73,289.73,0.0,0.0
2770,0.0,291.57,291.57,0.0,0.0
2775,0.0,289.1,289.1,0.0,0.0
2780,0.0,291.33,291.33,0.0,0.0
2785,0.0,293.23,293.23,0.0,0.0
2790,0.0,290.92,290.92,0.0,0.0
2795,0.0,289.5,289.5,0.0,0.0
2800,0.0,288.09,288.09,0.0,0.0
2805,0.0,289.45,289.45,0.0,0.0
2810,0.0,291.13,291.13,0.0,0.0
2815,0.0,286.93,286.93,0.0,0.0
2820,0.0,291.66,291.66,0.0,0.0
2825,0.0,290.42,290.42,0.0,0.0
2830,0.0,289.7,289.7,0.0,0.0
2835,0.0,288.68,288.68,0.0,0.0
2840,0.0,289.05,289.05,0.0,0.0
2845,0.0,291.19,291.19,0.0,0.0
2850,0.0,289.74,289.74,0.0,0.0
2855,0.0,289.0,289.0,0.0,0.0
2860,0.0,290.94,290.94,0.0,0.0
2865,0.0,291.02,291.02,0.0,0.0
2870,0.0,287.5,287.5,0.0,0.0
2875,0.0,291.14,291.14,0.0,0.0
2880,0.0,295.0,295.0,0.0,0.0
